Timestamp,Which year are you in?,How are you feeling right now?,"On a scale of 1-100, how would you express this feeling?",Gender,Age,Your location ?,Relationship status,Are you happy with your financial state?,How much have you succeeded to cope up with the environment of your educational institution?,Understanding with your family members?,Are you feeling pressure in your study or work right now?,Are you satisfied with your academic result?,Are you happy with your living place?,Who supports you when you are not succeeding in your academic life?,Have you used any social media within the last 6 hours?,Do you have inferiority complex? ,Are you satisfied with your meal today?,Are you feeling sick/health issues today?,"Have you done any recreational activity (sports, gaming, hobby etc.) today?",How long did you sleep last night?(in hours)
11/23/2020 13:44:42,4th year,Normal,50,Female,22,Home,It's complicated,Yes,3,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,No,8.0
11/23/2020 18:57:02,4th year,Very bad,10,Female,22,Home,It's complicated,Yes,2,Normal,Yes,No,Yes,No one,Yes,Yes,Neutral,No,No,8.0
11/23/2020 20:38:17,4th year,Bad,40,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Not applicable,Yes,Maybe,Neutral,No,No,8.0
11/24/2020 0:34:05,4th year,Normal,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,No,Yes,8.0
11/24/2020 10:36:29,4th year,Normal,70,Female,22,Home,It's complicated,Yes,3,Bad,No,No,Yes,No one,Yes,Maybe,Neutral,No,No,8.0
11/24/2020 11:13:25,4th year,Normal,8,Female,22,Home,It's complicated,Yes,2,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,No,No,8.0
11/24/2020 17:26:46,4th year,Bad,50,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,No one,Yes,Maybe,Neutral,No,No,8.0
11/24/2020 19:26:43,4th year,Bad,40,Female,22,Home,It's complicated,Yes,2,Normal,No,No,Yes,No one,Yes,Maybe,Neutral,Yes,No,8.0
11/24/2020 21:17:52,4th year,Normal,80,Female,22,Home,It's complicated,Yes,4,Normal,Not applicable,No,Yes,Family,Yes,Maybe,Yes,No,Yes,8.0
11/24/2020 23:24:23,4th year,Normal,80,Female,22,Home,It's complicated,Yes,3,Normal,Yes,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8.0
11/25/2020 16:09:48,4th year,Bad,50,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,Yes,Yes,7.0
11/25/2020 20:35:26,4th year,Bad,70,Female,22,Home,It's complicated,Yes,3,Normal,Yes,No,Yes,Friends,Yes,No,Yes,Yes,No,7.0
11/25/2020 22:57:34,4th year,Normal,50,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7.0
11/26/2020 0:00:22,4th year,Normal,50,Female,22,Home,It's complicated,Yes,3,Normal,No,Not applicable,Yes,Friends,Yes,Maybe,Yes,Yes,No,8.0
11/26/2020 22:11:30,4th year,Good,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,No,Maybe,Yes,No,No,8.0
11/26/2020 23:03:45,4th year,Normal,70,Female,22,Home,It's complicated,Yes,3,Normal,No,Not applicable,Yes,Friends,Yes,Maybe,Yes,No,Yes,7.0
11/27/2020 1:04:09,4th year,Normal,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8.0
11/27/2020 1:46:30,4th year,Good,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Yes,No,Yes,8.0
11/27/2020 10:14:42,4th year,Normal,60,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,No,No,Neutral,No,No,8.0
11/27/2020 14:22:04,4th year,Normal,80,Female,22,Home,It's complicated,Yes,3,Normal,No,Not applicable,Yes,Family,No,Maybe,Yes,No,No,8.0
11/28/2020 0:17:04,4th year,Normal,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Friends,Yes,Maybe,Neutral,No,No,8.0
11/28/2020 12:08:24,4th year,Good,80,Female,22,Home,It's complicated,Yes,3,Normal,No,No,Yes,Family,No,Maybe,Neutral,No,No,9.0
